"Key","Issue Type","Parent","Summary","Status","Assignee","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"KGO-12","Epic","","MVP","To Do","","","2023/09/08","","2023/12/23","purple"
"KGO-13","Task","KGO-12","Create authentication function","Done","","2023/09/08","2023/09/08","2023/09/18","2023/09/18","purple"
"KGO-14","Task","KGO-12","Create user profiles for parents, allowing them to manage preferences, interests, and family details.","Done","","2023/09/12","2023/09/12","2023/09/22","2023/09/22","purple"
"KGO-15","Task","KGO-12","Implement profiles for organizations to manage their activities.","Done","","2023/09/17","2023/09/17","2023/09/29","2023/09/29","purple"
"KGO-16","Task","KGO-12","Activity Listings and Filtering","Done","","2023/09/25","2023/09/25","2023/10/11","2023/10/11","purple"
"KGO-17","Task","KGO-12","Create a system for organizations to add and publish activities.","Done","","2023/10/06","2023/10/06","2023/10/20","2023/10/20","purple"
"KGO-18","Task","KGO-12","Implement filters for parents to search and filter activities by age, interests, and location.","Done","","2023/10/16","2023/10/16","2023/10/26","2023/10/26","purple"
"KGO-19","Task","KGO-12","Calendar and Scheduling","Done","","2023/10/24","2023/10/24","2023/11/06","2023/11/06","purple"
"KGO-20","Task","KGO-12","Family Circles and Sharing","In Progress","","2023/11/01","2023/11/01","2023/11/14","2023/11/14","purple"
"KGO-21","Task","KGO-12","Activity Promotion and Loyalty Programs","To Do","","2023/11/07","2023/11/07","2023/11/20","2023/11/20","purple"
"KGO-22","Task","KGO-12","Interactive Map","To Do","","2023/10/27","2023/10/27","2023/11/09","2023/11/09","purple"
"KGO-23","Task","KGO-12","Implement an interactive map feature that displays nearby activities based on the user's location.","To Do","","2023/11/18","2023/11/18","2023/12/01","2023/12/01","purple"
"KGO-24","Task","KGO-12","Allow users to explore activities in different areas.","To Do","","2023/11/30","2023/11/30","2023/12/13","2023/12/13","purple"
"KGO-25","Task","KGO-12","AI-Powered Activity Recommendations:","To Do","","2023/11/11","2023/11/11","2023/12/16","2023/12/16","purple"
"KGO-26","Task","KGO-12","Implement algorithms for activity matching and recommendation.","To Do","","2023/12/10","2023/12/10","2023/12/23","2023/12/23","purple"
